File,Gender,White,Black,Asian,Indian,Others,Child,Adolescent,Teen,Young Adult,Adult,Old Adult,Senior
1.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0
10.jpg,0,0,0,0,0,1,0,0,0,0,1,0,0
100.jpg,1,0,0,1,0,0,0,0,0,1,0,0,0
1000.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0
10001.jpg,1,0,0,0,0,1,0,0,0,0,0,0,1
10003.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0
10004.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0
10006.jpg,0,0,0,0,0,1,0,0,0,1,0,0,0
10007.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0
10008.jpg,1,0,0,0,0,1,0,0,0,1,0,0,0
10009.jpg,1,0,0,1,0,0,0,1,0,0,0,0,0
10010.jpg,0,0,1,0,0,0,0,0,0,1,0,0,0
10011.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0
10012.jpg,0,0,0,0,0,1,0,0,1,0,0,0,0
10013.jpg,1,0,0,0,0,1,0,0,0,1,0,0,0
10014.jpg,1,0,0,0,0,1,0,0,0,0,1,0,0
10015.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0
10016.jpg,0,0,0,0,0,1,0,0,0,0,0,1,0
10018.jpg,1,1,0,0,0,0,0,0,0,1,0,0,0
10019.jpg,0,0,0,0,0,1,0,0,0,0,0,1,0
1002.jpg,1,0,1,0,0,0,0,0,0,0,1,0,0
10020.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0
10023.jpg,1,0,0,1,0,0,1,0,0,0,0,0,0
10024.jpg,1,0,0,0,0,1,0,0,0,0,1,0,0
10027.jpg,1,0,0,1,0,0,0,1,0,0,0,0,0
10028.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0
10029.jpg,1,0,0,1,0,0,0,0,0,1,0,0,0
1003.jpg,1,0,0,0,0,1,0,0,0,0,1,0,0
10031.jpg,0,0,0,0,0,1,0,0,1,0,0,0,0
10032.jpg,1,0,1,0,0,0,0,0,0,1,0,0,0
10033.jpg,0,0,0,0,0,1,0,0,0,0,0,1,0
10034.jpg,1,0,1,0,0,0,0,0,0,0,1,0,0
10035.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0
10036.jpg,1,0,0,0,0,1,0,0,0,1,0,0,0
10037.jpg,0,0,0,1,0,0,0,0,0,0,1,0,0
10038.jpg,1,0,0,0,0,1,0,0,0,1,0,0,0
10039.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0
1004.jpg,0,0,0,0,0,1,0,0,0,0,0,1,0
10040.jpg,1,0,0,0,0,1,0,0,1,0,0,0,0
10041.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0
10042.jpg,0,0,0,1,0,0,0,0,0,1,0,0,0
10043.jpg,0,1,0,0,0,0,0,0,0,1,0,0,0
10044.jpg,1,0,0,1,0,0,0,0,0,1,0,0,0
10045.jpg,0,0,0,0,0,1,0,0,0,0,1,0,0
10047.jpg,1,0,1,0,0,0,0,0,0,1,0,0,0
10048.jpg,1,0,1,0,0,0,0,0,0,1,0,0,0
1005.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0
10050.jpg,0,0,1,0,0,0,0,0,0,1,0,0,0
10051.jpg,0,0,0,1,0,0,0,0,0,1,0,0,0
10052.jpg,1,0,0,0,1,0,0,0,1,0,0,0,0
10053.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0
10054.jpg,0,0,0,0,0,1,0,0,0,0,1,0,0
10055.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0
10057.jpg,1,0,0,0,1,0,0,0,0,0,0,1,0
10058.jpg,1,0,0,1,0,0,0,0,0,1,0,0,0
10059.jpg,0,0,0,0,0,1,0,0,0,0,0,1,0
1006.jpg,1,0,0,0,0,1,0,0,0,0,0,1,0
10060.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0
10061.jpg,1,0,0,0,0,1,0,0,0,1,0,0,0
10062.jpg,1,0,0,0,0,1,0,0,0,1,0,0,0
10064.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0
10065.jpg,1,1,0,0,0,0,0,0,0,1,0,0,0
